Time,altitude via 2D coords,altitude via 3D coords,altitude via ecc ano,altitude via true ano
0,423216.960063,421454.267695,423216.960063,423216.960063
1,423221.649142,421455.909025,423221.649142,423221.649142
2,423226.339652,421457.549157,423226.339652,423226.339652
3,423231.031589,421459.188084,423231.031589,423231.031589
4,423235.724946,421460.825801,423235.724946,423235.724946
5,423240.419717,421462.462302,423240.419717,423240.419717
6,423245.115896,421464.097581,423245.115896,423245.115896
7,423249.813478,421465.731631,423249.813478,423249.813478
8,423254.512456,421467.364447,423254.512456,423254.512456
9,423259.212824,421468.996024,423259.212824,423259.212824
10,423263.914577,421470.626354,423263.914577,423263.914577
11,423268.617708,421472.255432,423268.617708,423268.617708
12,423273.322211,421473.883252,423273.322211,423273.322211
13,423278.028081,421475.509808,423278.028081,423278.028081
14,423282.735312,421477.135094,423282.735312,423282.735312
15,423287.443896,421478.759105,423287.443896,423287.443896
16,423292.153829,421480.381833,423292.153829,423292.153829
17,423296.865105,421482.003274,423296.865105,423296.865105
18,423301.577717,421483.623420,423301.577717,423301.577717
19,423306.291660,421485.242267,423306.291660,423306.291660
20,423311.006927,421486.859808,423311.006927,423311.006927
21,423315.723513,421488.476037,423315.723513,423315.723513
22,423320.441411,421490.090948,423320.441411,423320.441411
23,423325.160615,421491.704536,423325.160615,423325.160615
24,423329.881121,421493.316793,423329.881121,423329.881121
25,423334.602920,421494.927715,423334.602920,423334.602920
26,423339.326008,421496.537295,423339.326008,423339.326008
27,423344.050379,421498.145528,423344.050379,423344.050379
28,423348.776026,421499.752406,423348.776026,423348.776026
29,423353.502944,421501.357925,423353.502944,423353.502944
30,423358.231126,421502.962078,423358.231126,423358.231126
31,423362.960566,421504.564859,423362.960566,423362.960566
32,423367.691259,421506.166262,423367.691259,423367.691259
33,423372.423199,421507.766282,423372.423199,423372.423199
34,423377.156378,421509.364911,423377.156378,423377.156378
35,423381.890793,421510.962145,423381.890793,423381.890793
36,423386.626435,421512.557977,423386.626435,423386.626435
37,423391.363300,421514.152402,423391.363300,423391.363300
38,423396.101381,421515.745412,423396.101381,423396.101381
39,423400.840673,421517.337002,423400.840673,423400.840673
40,423405.581169,421518.927167,423405.581169,423405.581169
41,423410.322863,421520.515899,423410.322863,423410.322863
42,423415.065749,421522.103194,423415.065749,423415.065749
43,423419.809822,421523.689045,423419.809822,423419.809822
44,423424.555075,421525.273446,423424.555075,423424.555075
45,423429.301502,421526.856390,423429.301502,423429.301502
46,423434.049097,421528.437873,423434.049097,423434.049097
47,423438.797854,421530.017888,423438.797854,423438.797854
48,423443.547767,421531.596428,423443.547767,423443.547767
49,423448.298830,421533.173489,423448.298830,423448.298830
50,423453.051037,421534.749063,423453.051037,423453.051037
51,423457.804382,421536.323145,423457.804382,423457.804382
52,423462.558858,421537.895729,423462.558858,423462.558858
53,423467.314461,421539.466808,423467.314461,423467.314461
54,423472.071183,421541.036378,423472.071183,423472.071183
55,423476.829019,421542.604431,423476.829019,423476.829019
