Time,altitude via coords,altitude via ecc ano,altitude via true ano
0,541648.498786,541648.498786,541648.498786
1,541633.158528,541633.158528,541633.158528
2,541617.848660,541617.848660,541617.848660
3,541602.569201,541602.569201,541602.569201
4,541587.320169,541587.320169,541587.320169
5,541572.101583,541572.101583,541572.101583
6,541556.913462,541556.913462,541556.913462
7,541541.755824,541541.755824,541541.755824
8,541526.628687,541526.628687,541526.628687
9,541511.532070,541511.532070,541511.532070
10,541496.465992,541496.465992,541496.465992
11,541481.430471,541481.430471,541481.430471
12,541466.425524,541466.425524,541466.425524
13,541451.451171,541451.451171,541451.451171
14,541436.507430,541436.507430,541436.507430
15,541421.594319,541421.594319,541421.594319
16,541406.711856,541406.711856,541406.711856
17,541391.860059,541391.860059,541391.860059
18,541377.038947,541377.038947,541377.038947
19,541362.248537,541362.248537,541362.248537
20,541347.488848,541347.488848,541347.488848
21,541332.759897,541332.759897,541332.759897
22,541318.061703,541318.061703,541318.061703
23,541303.394284,541303.394284,541303.394284
24,541288.757656,541288.757656,541288.757656
25,541274.151839,541274.151839,541274.151839
26,541259.576851,541259.576851,541259.576851
27,541245.032707,541245.032707,541245.032707
28,541230.519428,541230.519428,541230.519428
29,541216.037030,541216.037030,541216.037030
30,541201.585531,541201.585531,541201.585531
31,541187.164948,541187.164948,541187.164948
32,541172.775300,541172.775300,541172.775300
33,541158.416603,541158.416603,541158.416603
34,541144.088876,541144.088876,541144.088876
35,541129.792135,541129.792135,541129.792135
36,541115.526399,541115.526399,541115.526399
37,541101.291685,541101.291685,541101.291685
38,541087.088009,541087.088009,541087.088009
39,541072.915390,541072.915390,541072.915390
40,541058.773844,541058.773844,541058.773844
41,541044.663390,541044.663390,541044.663390
42,541030.584043,541030.584043,541030.584043
43,541016.535822,541016.535822,541016.535822
44,541002.518743,541002.518743,541002.518743
45,540988.532824,540988.532824,540988.532824
46,540974.578081,540974.578081,540974.578081
47,540960.654533,540960.654533,540960.654533
48,540946.762194,540946.762194,540946.762194
49,540932.901084,540932.901084,540932.901084
50,540919.071218,540919.071218,540919.071218
51,540905.272613,540905.272613,540905.272613
52,540891.505287,540891.505287,540891.505287
53,540877.769256,540877.769256,540877.769256
54,540864.064536,540864.064536,540864.064536
55,540850.391146,540850.391146,540850.391146
56,540836.749100,540836.749100,540836.749100
57,540823.138417,540823.138417,540823.138417
58,540809.559111,540809.559111,540809.559111
59,540796.011202,540796.011202,540796.011202
60,540782.494703,540782.494703,540782.494703
61,540769.009633,540769.009633,540769.009633
62,540755.556008,540755.556008,540755.556008
63,540742.133843,540742.133843,540742.133843
64,540728.743156,540728.743156,540728.743156
65,540715.383963,540715.383963,540715.383963
66,540702.056280,540702.056280,540702.056280
67,540688.760123,540688.760123,540688.760123
68,540675.495509,540675.495509,540675.495509
69,540662.262453,540662.262453,540662.262453
70,540649.060973,540649.060973,540649.060973
71,540635.891083,540635.891083,540635.891083
72,540622.752801,540622.752801,540622.752801
73,540609.646142,540609.646142,540609.646142
74,540596.571122,540596.571122,540596.571122
75,540583.527757,540583.527757,540583.527757
76,540570.516063,540570.516063,540570.516063
77,540557.536057,540557.536057,540557.536057
78,540544.587753,540544.587753,540544.587753
79,540531.671167,540531.671167,540531.671167
80,540518.786316,540518.786316,540518.786316
81,540505.933216,540505.933216,540505.933216
82,540493.111881,540493.111881,540493.111881
83,540480.322327,540480.322327,540480.322327
84,540467.564571,540467.564571,540467.564571
85,540454.838627,540454.838627,540454.838627
86,540442.144512,540442.144512,540442.144512
87,540429.482240,540429.482240,540429.482240
88,540416.851827,540416.851827,540416.851827
89,540404.253289,540404.253289,540404.253289
90,540391.686641,540391.686641,540391.686641
91,540379.151899,540379.151899,540379.151899
92,540366.649076,540366.649076,540366.649076
93,540354.178190,540354.178190,540354.178190
94,540341.739255,540341.739255,540341.739255
95,540329.332287,540329.332287,540329.332287
96,540316.957300,540316.957300,540316.957300
97,540304.614309,540304.614309,540304.614309
98,540292.303330,540292.303330,540292.303330
99,540280.024378,540280.024378,540280.024378
100,540267.777468,540267.777468,540267.777468
101,540255.562614,540255.562614,540255.562614
102,540243.379832,540243.379832,540243.379832
103,540231.229136,540231.229136,540231.229136
104,540219.110542,540219.110542,540219.110542
105,540207.024063,540207.024063,540207.024063
106,540194.969716,540194.969716,540194.969716
107,540182.947514,540182.947514,540182.947514
108,540170.957472,540170.957472,540170.957472
109,540158.999606,540158.999606,540158.999606
110,540147.073928,540147.073928,540147.073928
111,540135.180455,540135.180455,540135.180455
112,540123.319201,540123.319201,540123.319201
113,540111.490180,540111.490180,540111.490180
114,540099.693406,540099.693406,540099.693406
115,540087.928894,540087.928894,540087.928894
116,540076.196659,540076.196659,540076.196659
117,540064.496714,540064.496714,540064.496714
118,540052.829074,540052.829074,540052.829074
119,540041.193754,540041.193754,540041.193754
120,540029.590766,540029.590766,540029.590766
121,540018.020127,540018.020127,540018.020127
122,540006.481849,540006.481849,540006.481849
123,539994.975947,539994.975947,539994.975947
124,539983.502435,539983.502435,539983.502435
125,539972.061327,539972.061327,539972.061327
126,539960.652636,539960.652636,539960.652636
127,539949.276378,539949.276378,539949.276378
128,539937.932565,539937.932565,539937.932565
129,539926.621212,539926.621212,539926.621212
130,539915.342332,539915.342332,539915.342332
131,539904.095940,539904.095940,539904.095940
